class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_s_005,LSIL_s_005,ASCH_s_005,HSIL_s_005,SCC_s_005,ASCUS_s_01,LSIL_s_01,ASCH_s_01,HSIL_s_01,SCC_s_01,ASCUS_s_02,LSIL_s_02,ASCH_s_02,HSIL_s_02,SCC_s_02,ASCUS_s_03,LSIL_s_03,ASCH_s_03,HSIL_s_03,SCC_s_03,ASCUS_s_04,LSIL_s_04,ASCH_s_04,HSIL_s_04,SCC_s_04,ASCUS_s_05,LSIL_s_05,ASCH_s_05,HSIL_s_05,SCC_s_05,ASCUS_s_06,LSIL_s_06,ASCH_s_06,HSIL_s_06,SCC_s_06,ASCUS_s_07,LSIL_s_07,ASCH_s_07,HSIL_s_07,SCC_s_07,ASCUS_s_08,LSIL_s_08,ASCH_s_08,HSIL_s_08,SCC_s_08,ASCUS_s_09,LSIL_s_09,ASCH_s_09,HSIL_s_09,SCC_s_09,ASCUS_s_099,LSIL_s_099,ASCH_s_099,HSIL_s_099,SCC_s_099,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_01,LSIL_c_01,ASCH_c_01,HSIL_c_01,SCC_c_01,ASCUS_c_02,LSIL_c_02,ASCH_c_02,HSIL_c_02,SCC_c_02,ASCUS_c_03,LSIL_c_03,ASCH_c_03,HSIL_c_03,SCC_c_03,ASCUS_c_04,LSIL_c_04,ASCH_c_04,HSIL_c_04,SCC_c_04,ASCUS_c_05,LSIL_c_05,ASCH_c_05,HSIL_c_05,SCC_c_05,ASCUS_c_06,LSIL_c_06,ASCH_c_06,HSIL_c_06,SCC_c_06,ASCUS_c_07,LSIL_c_07,ASCH_c_07,HSIL_c_07,SCC_c_07,ASCUS_c_08,LSIL_c_08,ASCH_c_08,HSIL_c_08,SCC_c_08,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
3,7584,2,4,7,0,7392,2,4,7,0,5712,2,3,2,0,4275,2,1,2,0,3492,1,1,1,0,2991,1,1,0,0,2597,0,0,0,0,2189,0,0,0,0,1866,0,0,0,0,1500,0,0,0,0,1069,0,0,0,0,310,0,0,0,0,7528,14,25,26,4,7528,14,25,26,4,7528,14,25,26,4,7528,14,25,26,4,7526,13,25,26,4,7520,13,25,24,4,7483,11,24,23,4,7426,9,24,22,4,7367,8,21,20,4,7237,8,20,19,4,6627,7,16,10,2,5580,5,9,7,1,108.10695193629063,112.22403914532053,12848.861994121366,67.50672,78.5905642,87.93811639999996,96.167877,103.67449900000008,111.33801600000001,119.627461,131.13063960000002,151.74645980000008,67.50672,78.5905642,87.93811639999996,96.167877,103.67449900000008,111.33801600000001,119.627461,131.13063960000002,151.74645980000008,102.28873985157006,116.36062498976293,135.30212588015831,145.73787750098035,156.25822545140275,165.57552439883233,174.62091061702776,185.4682149946367,213.2377714536849,5012.8688197272595,6461.142004668737,8740.488149851124,10079.45949497496,11467.27704501553,12980.277113140943,14435.075484361272,16143.526940266012,21086.191467682438
3,3413,24,387,45,3,2723,9,361,41,3,2098,8,275,28,3,1567,4,191,12,0,1259,3,161,7,0,1024,3,140,6,0,855,2,120,4,0,713,2,101,4,0,583,1,84,3,0,445,1,61,3,0,292,1,42,1,0,46,0,6,0,0,2967,24,739,129,13,2967,24,739,129,13,2967,24,739,129,13,2967,24,739,129,13,2960,24,731,128,13,2945,23,718,122,13,2902,21,683,117,11,2841,17,646,111,10,2778,13,586,106,9,2649,12,515,94,8,2135,4,366,60,8,1509,1,251,34,4,102.68045601420454,102.82813961673553,13077.84426493597,56.16646620000001,65.1256272,73.0307196,80.88066919999997,90.023495,99.40032339999998,108.99931490000003,122.18268460000002,152.6158845,56.16646620000001,65.1256272,73.0307196,80.88066919999997,90.023495,99.40032339999998,108.99931490000003,122.18268460000002,152.6158845,88.5817113341152,99.20674686691936,108.33673680460618,117.38851697062222,134.88041852385857,143.2633235280324,153.19657457564023,165.87577604478344,216.56931219836892,3753.341971563543,4669.631587984066,5535.533922046858,6495.153775562679,8729.482229560013,9737.65478618013,10969.590393744471,12914.275391676816,21770.70830769867
3,1989,4,94,11,0,1823,0,84,11,0,1425,0,65,9,0,1045,0,49,9,0,853,0,45,9,0,726,0,38,7,0,619,0,35,4,0,524,0,27,4,0,421,0,23,4,0,336,0,20,2,0,217,0,12,1,0,62,0,5,0,0,1887,4,175,27,5,1887,4,175,27,5,1887,4,175,27,5,1886,4,175,27,5,1881,4,174,26,4,1871,4,169,24,4,1824,4,164,24,4,1771,4,154,22,4,1690,4,141,18,4,1557,2,129,16,4,1070,1,86,14,2,579,0,54,3,1,107.91647801620591,107.27000415490943,14867.23724097044,59.4561935,68.26779179999997,76.08085309999998,83.80422979999997,91.994941,100.63613280000001,111.1040804,127.44050940000005,161.42165910000006,59.4561935,68.26779179999997,76.08085309999998,83.80422979999997,91.994941,100.63613280000001,111.1040804,127.44050940000005,161.42165910000006,92.52002632456811,102.6994591364186,110.96949539042512,119.1467766910657,136.1150473135737,146.42038662118466,158.84000597811064,173.8569645954048,224.97836239472582,4064.863846037224,5030.612525974875,5925.026625481822,6718.833850999959,8894.636610786989,10156.067253253408,11760.237813320495,14320.887967361537,24422.55081400837
3,2763,8,30,16,0,2680,8,20,16,0,2115,5,15,9,0,1675,4,12,7,0,1420,3,9,5,0,1217,3,8,5,0,1059,2,6,5,0,929,1,4,5,0,796,0,1,4,0,669,0,0,1,0,490,0,0,1,0,162,0,0,0,0,2711,11,35,59,1,2711,11,35,59,1,2711,11,35,59,1,2711,11,35,59,1,2709,11,35,59,1,2699,11,34,58,1,2648,10,31,56,1,2574,10,30,56,1,2493,10,28,55,1,2361,8,27,51,1,1812,7,11,41,1,1085,5,8,26,0,108.752305228257,113.64630240184593,12858.541059102594,74.1919038,85.74478719999999,93.3480074,99.38444140000001,104.47824100000003,110.87482940000004,118.29354839999999,128.1404054,144.97343399999997,74.1919038,85.74478719999999,93.3480074,99.38444140000001,104.47824100000003,110.87482940000004,118.29354839999999,128.1404054,144.97343399999997,113.76728928294925,131.71661071414871,139.6646312193664,148.0203235741705,156.8602370952217,164.90732207553867,172.94071698446865,181.8003448078056,202.14151655900662,6165.949268363509,8384.209604812833,9365.126169867965,10504.570467367712,11768.601965007347,13116.359442881629,14305.030332932918,15841.202168045047,18587.282839189524
3,930,12,123,50,1,801,6,105,48,1,641,2,79,26,1,492,1,65,16,0,419,1,45,10,0,370,1,37,7,0,321,0,32,7,0,279,0,25,6,0,239,0,21,5,0,191,0,17,2,0,128,0,5,0,0,26,0,0,0,0,835,7,186,84,4,835,7,186,84,4,835,7,186,84,4,835,7,186,84,4,831,7,183,82,4,823,7,174,79,4,795,6,162,72,4,763,5,150,64,4,717,4,133,60,3,644,3,114,50,3,423,3,64,26,1,205,2,42,12,0,117.47008762275985,118.51321353494622,19598.708396288708,58.173717499999995,68.16565,79.15363900000001,91.72350999999998,101.18403600000002,110.65985199999996,119.9509735,136.731629,167.875595,58.173717499999995,68.16565,79.15363900000001,91.72350999999998,101.18403600000002,110.65985199999996,119.9509735,136.731629,167.875595,88.0957899140735,102.00468770045192,114.69332952669042,138.26681748844413,150.4736857943688,162.30808992487704,174.04588795983335,190.03755469085988,229.4133011151152,3699.015359768091,4973.005734755845,6183.088967357682,9127.547195,10706.908394696624,12485.346546906472,14474.509032103035,16986.425648438617,25186.823733939647
3,994,12,22,2,0,930,12,22,2,0,771,7,17,1,0,638,5,12,0,0,559,3,11,0,0,495,3,11,0,0,438,1,9,0,0,386,1,7,0,0,338,1,6,0,0,278,0,5,0,0,199,0,3,0,0,48,0,0,0,0,956,18,51,4,1,956,18,51,4,1,956,18,51,4,1,954,18,51,4,1,950,18,50,4,1,937,18,49,4,1,904,15,48,3,1,869,12,46,3,1,814,6,44,2,1,734,3,39,1,0,455,0,31,1,0,196,0,22,1,0,117.3383051932039,118.68973215728155,18514.099080651136,69.21599409999995,80.73298279999992,89.99636800000005,97.74340140000001,103.8921205,109.27562220000002,117.25269449999999,128.78848939999997,157.04456150000007,69.21599409999995,80.73298279999992,89.99636800000005,97.74340140000001,103.8921205,109.27562220000002,117.25269449999999,128.78848939999997,157.04456150000007,105.84251925512456,117.04586322455813,133.31185081554062,141.16202725032556,147.75845505373658,157.40904917153105,166.99233795625548,178.2053561337153,221.35054638332522,5380.113399168896,6491.2049222993255,8661.103292613741,9668.074614611145,10557.81058062962,12017.039442311154,13393.460288139562,15482.637621951093,23485.410005055306
3,798,23,93,9,0,692,17,83,9,0,562,14,70,7,0,431,11,49,4,0,378,7,40,2,0,338,5,30,1,0,293,5,26,0,0,248,4,24,0,0,209,4,22,0,0,176,0,17,0,0,111,0,13,0,0,33,0,3,0,0,720,30,149,24,0,720,30,149,24,0,720,30,149,24,0,718,30,149,24,0,715,29,148,24,0,707,28,144,23,0,675,26,135,19,0,642,26,130,17,0,587,20,125,15,0,523,17,111,15,0,302,8,79,9,0,147,4,52,6,0,140.0692460227519,138.45768587865655,25772.527380998472,61.93497319999996,77.64036879999998,91.40870319999999,104.41021720000002,117.83611999999994,133.86170900000002,153.5676874,179.2552368,212.3407256,61.93497319999996,77.64036879999998,91.40870319999999,104.41021720000002,117.83611999999994,133.86170900000002,153.5676874,179.2552368,212.3407256,96.25067926666172,112.82478032444743,139.92997013806547,154.0998588941469,172.4884947292837,189.8522746961964,222.46885895051113,243.43241374663225,302.0635196488034,4451.973047903611,5987.686958759494,9258.200814215994,11149.116136140454,13788.382754841865,17035.015077850247,23415.112768481114,27976.23014298408,43601.372309820224
3,252,4,971,19,1,101,2,907,18,1,82,0,675,12,0,64,0,488,7,0,54,0,394,7,0,51,0,328,7,0,40,0,271,4,0,35,0,223,2,0,32,0,187,1,0,27,0,145,1,0,23,0,102,0,0,9,0,30,0,0,100,4,1094,40,9,100,4,1094,40,9,100,4,1094,40,9,100,4,1094,40,9,98,4,1090,39,9,94,3,1077,36,9,91,3,1047,34,6,88,2,1013,31,5,83,2,978,28,5,73,2,908,25,4,46,2,734,13,2,27,1,561,6,2,231.23167465918203,225.70186430713713,66114.49848758975,79.85640279999991,110.64753060000002,134.8952214,162.12006240000002,184.086227,216.53397500000005,278.2616766,351.4449462,473.18363340000025,79.85640279999991,110.64753060000002,134.8952214,162.12006240000002,184.086227,216.53397500000005,278.2616766,351.4449462,473.18363340000025,132.94155973383081,165.68332598906753,209.1426015662941,244.2096236339032,284.5155834212993,327.0609498116987,376.67908552898916,508.7421198634513,625.902578983276,7848.215645198954,12819.237055393389,20677.304958395565,28417.719726918927,36826.6921549655,48858.1911387399,64259.76878860415,118417.79360767284,175666.1300758258
3,2207,9,81,12,1,2085,4,67,11,1,1546,1,52,3,1,1128,1,42,2,1,914,0,35,2,0,781,0,31,2,0,663,0,26,2,0,555,0,18,0,0,458,0,16,0,0,367,0,15,0,0,250,0,11,0,0,64,0,5,0,0,2121,8,137,41,3,2121,8,137,41,3,2121,8,137,41,3,2121,8,137,41,3,2115,8,137,41,3,2101,8,135,41,3,2052,8,129,37,3,1994,6,123,34,3,1917,5,118,32,2,1796,5,109,26,2,1355,3,82,14,2,864,0,67,5,1,111.27312865151514,111.385882391342,14790.181765703492,63.49299010000001,72.21788959999999,80.60360810000002,89.70539539999997,98.4907375,108.24034440000001,119.96359259999997,141.31774299999995,170.9983641,63.49299010000001,72.21788959999999,80.60360810000002,89.70539539999997,98.4907375,108.24034440000001,119.96359259999997,141.31774299999995,170.9983641,96.12929956925034,106.64210465346456,115.47220975335227,133.90344738999084,145.33514666990578,158.3457669328878,172.35618039713324,197.21941825997885,232.41802321396375,4459.851724836729,5547.422540875194,6408.31710591154,8702.538500963388,10087.66536059772,11830.654971269945,13930.978146119336,17155.943187592908,25791.491421941984
3,1902,9,1191,7,0,740,7,1068,6,0,496,5,771,5,0,318,4,517,4,0,227,2,401,4,0,181,2,337,4,0,143,1,279,3,0,114,1,217,3,0,89,1,174,2,0,63,0,133,2,0,35,0,75,2,0,5,0,14,1,0,821,7,2196,77,8,821,7,2196,77,8,821,7,2196,77,8,820,7,2195,77,8,818,7,2185,77,8,810,7,2164,73,8,787,7,2117,67,8,763,7,2075,62,6,708,6,2017,58,6,659,3,1926,45,5,476,0,1601,22,2,306,0,1266,11,1,183.54438203248634,175.67391684882594,50410.07553538246,54.09255400000002,65.18922139999997,77.67224740000002,92.89804700000002,111.47973600000006,138.05876420000004,192.3887634,312.87619580000006,462.7251524000006,54.09255400000002,65.18922139999997,77.67224740000002,92.89804700000002,111.47973600000006,138.05876420000004,192.3887634,312.87619580000006,462.7251524000006,83.21725064089836,97.51330276062494,111.84903838322893,139.05508918841804,160.47755389968754,213.08046995573906,304.41412399991395,461.75479017857407,617.0835114303824,3258.854035260669,4484.481668468834,5940.288386594171,9122.857242689755,12095.023573321927,20958.633434280666,41417.24372054284,92185.1976269951,168068.54572306722
