class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_s_005,LSIL_s_005,ASCH_s_005,HSIL_s_005,SCC_s_005,ASCUS_s_01,LSIL_s_01,ASCH_s_01,HSIL_s_01,SCC_s_01,ASCUS_s_02,LSIL_s_02,ASCH_s_02,HSIL_s_02,SCC_s_02,ASCUS_s_03,LSIL_s_03,ASCH_s_03,HSIL_s_03,SCC_s_03,ASCUS_s_04,LSIL_s_04,ASCH_s_04,HSIL_s_04,SCC_s_04,ASCUS_s_05,LSIL_s_05,ASCH_s_05,HSIL_s_05,SCC_s_05,ASCUS_s_06,LSIL_s_06,ASCH_s_06,HSIL_s_06,SCC_s_06,ASCUS_s_07,LSIL_s_07,ASCH_s_07,HSIL_s_07,SCC_s_07,ASCUS_s_08,LSIL_s_08,ASCH_s_08,HSIL_s_08,SCC_s_08,ASCUS_s_09,LSIL_s_09,ASCH_s_09,HSIL_s_09,SCC_s_09,ASCUS_s_099,LSIL_s_099,ASCH_s_099,HSIL_s_099,SCC_s_099,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_01,LSIL_c_01,ASCH_c_01,HSIL_c_01,SCC_c_01,ASCUS_c_02,LSIL_c_02,ASCH_c_02,HSIL_c_02,SCC_c_02,ASCUS_c_03,LSIL_c_03,ASCH_c_03,HSIL_c_03,SCC_c_03,ASCUS_c_04,LSIL_c_04,ASCH_c_04,HSIL_c_04,SCC_c_04,ASCUS_c_05,LSIL_c_05,ASCH_c_05,HSIL_c_05,SCC_c_05,ASCUS_c_06,LSIL_c_06,ASCH_c_06,HSIL_c_06,SCC_c_06,ASCUS_c_07,LSIL_c_07,ASCH_c_07,HSIL_c_07,SCC_c_07,ASCUS_c_08,LSIL_c_08,ASCH_c_08,HSIL_c_08,SCC_c_08,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
3,829,82,141,182,0,623,70,49,173,0,489,52,35,97,0,371,42,24,51,0,321,32,19,33,0,275,20,16,27,0,232,18,14,19,0,190,16,11,11,0,163,14,9,4,0,126,11,4,3,0,102,5,2,1,0,27,2,2,1,0,658,126,66,376,8,658,126,66,376,8,658,126,66,376,8,657,126,66,376,8,654,126,65,373,7,639,123,61,369,7,605,115,57,356,7,562,107,55,340,6,506,99,48,323,6,427,87,39,304,6,224,56,18,225,5,107,37,7,142,2,143.7709375,140.822852,31064.22617,45.8501958,55.9797702,67.1975209,85.3873166,110.764374,140.3534668,169.6664078,196.800247,257.7648866,45.8501958,55.9797702,67.1975209,85.3873166,110.764374,140.3534668,169.6664078,196.800247,257.7648866,69.81501825,82.6170869,97.40374263,129.0022854,166.500976,217.1742156,241.0625333,276.8792209,344.4090101,2305.498639,3218.032678,4429.031072,6671.058034,12524.09485,21904.50625,27861.30091,36093.28315,56402.57228
3,3926,16,212,84,0,3171,11,137,83,0,2274,8,104,61,0,1538,6,56,42,0,1185,4,41,31,0,976,4,26,22,0,815,4,20,15,0,675,2,18,12,0,550,1,11,5,0,441,1,5,3,0,299,0,3,1,0,80,0,0,0,0,3414,31,294,492,7,3414,31,294,492,7,3414,31,294,492,7,3414,31,293,491,7,3411,31,290,489,7,3394,29,280,479,6,3351,23,255,461,5,3312,22,232,452,5,3233,18,208,428,5,3145,16,164,399,5,2709,7,83,313,3,2135,4,39,233,3,108.474592,110.3881258,18209.07371,60.1046617,68.615457,74.453427,81.1647952,88.8103755,97.1247182,105.6450764,117.7137424,144.1924527,60.1046617,68.615457,74.453427,81.1647952,88.8103755,97.1247182,105.6450764,117.7137424,144.1924527,89.96686571,100.8728721,108.6871364,117.225832,134.5171655,143.6850529,154.6953914,169.690134,200.9315926,3906.592294,4964.875235,5745.002314,6619.218865,8696.211782,9789.184922,11312.73004,13516.65239,17476.14912
3,2015,47,32,115,4,1846,35,21,111,4,1588,21,14,64,1,1344,15,6,43,1,1194,9,4,35,1,1086,8,4,23,1,982,6,4,16,1,898,5,3,12,1,796,4,3,9,1,672,2,2,7,1,553,2,1,4,0,222,1,0,2,0,1916,56,17,213,11,1916,56,17,213,11,1916,56,17,213,11,1915,56,17,213,11,1909,54,16,211,9,1884,51,14,209,9,1818,45,11,200,9,1748,36,9,191,9,1654,34,8,179,6,1507,23,4,156,4,1016,5,1,96,1,584,3,0,42,1,127.9718555,127.6030057,18489.30123,61.375769,79.1871154,94.2857914,108.4620484,121.456055,135.046155,150.9030212,171.3718306,194.879492,61.375769,79.1871154,94.2857914,108.4620484,121.456055,135.046155,150.9030212,171.3718306,194.879492,95.15181063,116.7763285,144.4854612,163.4753032,179.4342026,194.7200927,217.9548271,235.5347564,263.3320603,4285.523845,6461.928631,9805.544089,12536.18586,15200.28089,17627.24882,22465.76936,26043.94123,31973.32284
3,2947,58,17,9,6,2776,52,14,7,6,2250,40,12,5,4,1772,31,7,4,4,1545,27,6,2,3,1371,21,5,1,2,1212,15,5,1,2,1068,11,3,1,2,925,9,2,1,0,775,5,2,1,0,586,0,2,1,0,202,0,0,0,0,2850,105,40,18,24,2850,105,40,18,24,2850,105,40,18,24,2848,105,40,18,24,2847,103,40,18,24,2822,101,39,18,21,2719,93,35,17,21,2586,82,32,15,21,2440,71,29,15,21,2179,50,22,14,18,1403,17,16,12,13,774,7,6,9,8,141.3978389,147.7512584,23328.00221,76.2715942,91.6669546,105.3558932,118.6271238,132.101624,147.1967864,162.7757402,178.9324828,201.294385,76.2715942,91.6669546,105.3558932,118.6271238,132.101624,147.1967864,162.7757402,178.9324828,201.294385,125.6246233,151.7807657,167.8521215,180.460685,200.0500858,217.8692224,230.1884388,246.254684,285.4461499,6781.456762,10643.61915,13047.74173,14967.63914,17550.746,22309.41145,25167.84561,28350.03836,36638.60952
3,545,135,167,166,2,213,36,78,154,2,170,30,43,120,2,133,23,13,83,1,110,17,4,65,0,97,11,2,57,0,81,9,1,47,0,68,7,1,40,0,58,3,1,32,0,40,3,1,26,0,30,1,1,12,0,2,0,0,1,0,324,43,9,621,18,324,43,9,621,18,324,43,9,621,18,324,43,9,621,18,323,43,9,617,18,318,39,9,603,18,311,34,6,577,14,297,31,4,553,12,280,26,4,522,10,253,19,4,453,8,172,9,1,274,3,111,4,1,133,0,322.6566594,307.7500211,141797.3174,55.8396736,77.8803344,100.9380242,148.4608402,354.630722,458.6863922,528.832837,586.2173648,607,55.8396736,77.8803344,100.9380242,148.4608402,354.630722,458.6863922,528.832837,586.2173648,607,88.79596741,110.4052767,143.330037,222.8718753,550.4641811,658.8139558,718.0621038,770.2250282,818.4219962,3663.641309,5711.755089,9593.157993,23976.21205,127736.3413,196945.7986,246014.5697,289203.313,333223.3122
3,417,17,14,35,0,367,12,8,35,0,303,10,7,20,0,234,7,3,12,0,207,3,3,6,0,178,3,2,3,0,157,0,2,2,0,139,0,2,1,0,120,0,2,1,0,103,0,2,0,0,81,0,1,0,0,32,0,0,0,0,386,24,8,63,2,386,24,8,63,2,385,24,8,63,2,385,24,8,63,2,384,24,8,63,2,376,23,7,63,2,360,21,7,59,2,342,16,5,53,2,314,15,4,49,2,254,10,3,42,2,164,2,1,27,2,109,1,0,17,2,196.1275527,196.8613322,61440.27621,60.487128,86.8171174,103.847589,122.1871464,140.405732,162.7267976,184.9895508,231.4663576,535.7232056,60.487128,86.8171174,103.847589,122.1871464,140.405732,162.7267976,184.9895508,231.4663576,535.7232056,95.95223543,138.9396755,164.0043229,181.7631828,213.7169381,231.9322843,255.4354479,318.8021396,738.3709746,4319.385957,9050.524404,12538.42361,15481.02562,21827.70736,25649.07144,30427.60901,44181.2403,255186.6825
3,2446,68,102,96,1,2130,38,77,94,1,1805,29,62,61,0,1463,20,50,39,0,1285,12,40,27,0,1157,8,39,19,0,1044,7,34,15,0,923,2,32,13,0,784,1,28,10,0,672,1,21,7,0,492,1,16,6,0,125,0,3,0,0,2265,49,170,221,8,2265,49,170,221,8,2265,49,170,221,8,2265,49,170,221,8,2260,49,167,220,8,2243,47,159,208,8,2166,39,149,194,8,2095,30,136,178,7,1994,24,124,165,7,1807,16,105,128,6,1201,6,60,64,3,557,1,30,27,1,101.7675178,101.674003,11698.6642,59.07497,68.1079814,77.0516368,85.2158638,93.570129,103.3022278,113.4588036,126.1497476,150.1843266,59.07497,68.1079814,77.0516368,85.2158638,93.570129,103.3022278,113.4588036,126.1497476,150.1843266,91.49685602,103.079671,110.5042907,120.637513,137.6833193,148.4314629,159.894368,175.5067837,213.4387759,3982.333448,5081.042399,5824.509845,6716.010188,9125.9658,10369.20438,12042.6795,14495.18438,21031.93692
3,763,25,35,178,0,696,17,18,178,0,589,14,13,99,0,475,11,7,49,0,413,7,4,36,0,368,4,3,23,0,332,3,3,18,0,303,2,2,14,0,268,1,1,8,0,229,1,0,4,0,183,1,0,1,0,87,1,0,0,0,708,24,24,244,1,708,24,24,244,1,708,24,24,244,1,708,24,24,244,1,702,24,24,244,1,691,23,22,241,1,654,20,18,235,1,631,18,16,223,1,579,14,16,215,1,504,13,13,200,1,336,8,2,138,1,181,6,1,93,1,122.0123409,124.4384069,18587.39604,42.965393,58.939426,79.853119,97.685119,113.597778,131.694397,151.965973,173.946198,198.597473,42.965393,58.939426,79.853119,97.685119,113.597778,131.694397,151.965973,173.946198,198.597473,61.38877918,89.53525302,124.8637908,156.5964211,174.5318924,193.878503,219.1122647,242.2935359,273.3741428,1816.266489,3569.190701,6998.699755,11347.40986,14380.20297,17171.72014,23146.05106,27334.96862,34700.8737
3,3662,135,273,288,6,2556,27,179,269,6,1925,16,143,179,5,1363,8,102,119,5,1062,5,75,82,3,854,3,62,63,2,691,2,49,41,2,574,1,40,34,2,452,1,33,19,1,349,0,22,13,1,224,0,9,8,1,48,0,3,2,0,2886,28,614,785,51,2886,28,614,785,51,2886,28,614,785,51,2885,28,613,782,51,2878,28,605,771,51,2854,25,594,743,48,2798,21,569,709,40,2729,16,533,658,35,2634,12,503,593,29,2478,7,453,489,24,1850,1,314,276,10,1141,0,202,154,2,102.4130601,104.1286837,12366.18645,58.0336667,68.3190488,77.2517565,85.2815948,93.4140015,101.9344,110.8662204,122.313348,146.031056,58.0336667,68.3190488,77.2517565,85.2815948,93.4140015,101.9344,110.8662204,122.313348,146.031056,94.28517064,104.6293403,112.9996906,129.7299713,140.2583884,148.5075304,157.7500478,170.3655331,201.8352644,4138.086644,5119.063684,5986.696881,7784.541207,9416.195371,10346.7725,11495.57861,13295.36247,17310.86551
3,11942,4,64,12,0,10125,0,50,12,0,7654,0,42,12,0,5473,0,31,8,0,4312,0,24,8,0,3549,0,17,6,0,2963,0,12,5,0,2500,0,9,3,0,2075,0,8,3,0,1642,0,7,2,0,1131,0,3,2,0,355,0,0,0,0,11308,0,323,350,41,11308,0,323,350,41,11308,0,323,350,41,11305,0,322,350,41,11291,0,317,345,41,11253,0,300,337,39,11162,0,281,332,37,11047,0,250,316,32,10899,0,224,296,30,10628,0,187,266,25,9509,0,92,171,18,7789,0,46,103,6,99.8677965,103.0289111,13573.06835,53.2986661,61.469924,68.2369086,75.1806972,82.561554,91.2313354,101.6525664,115.2011356,145.7207103,53.2986661,61.469924,68.2369086,75.1806972,82.561554,91.2313354,101.6525664,115.2011356,145.7207103,84.35204787,94.46389562,103.1391483,110.8183613,120.8207963,136.6449784,147.6409812,164.7833395,214.3624823,3400.601176,4258.421019,5048.122387,5830.619957,6749.27201,8775.04911,10053.33071,12214.87351,19208.10691
