class_i,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,ASCUS_c_09999,LSIL_c_09999,ASCH_c_09999,HSIL_c_09999,SCC_c_09999,ASCUS_c_099999,LSIL_c_099999,ASCH_c_099999,HSIL_c_099999,SCC_c_099999,d_05
1,94,76,0,62,20,52,53,0,53,16,19,38,0,41,12,8,27,0,31,10,3,20,0,27,9,166.9990983
1,22,380,1,42,21,10,282,0,24,14,0,225,0,16,9,0,180,0,8,5,0,144,0,5,2,184.2010921
1,249,603,1,272,76,123,333,0,166,46,58,156,0,101,32,19,84,0,58,13,6,45,0,42,7,165.6225263
1,42,73,7,135,3,17,40,4,81,2,6,19,1,42,2,4,10,0,22,2,2,4,0,11,1,161.1384412
1,92,94,50,622,100,50,56,13,452,69,17,31,4,310,43,3,15,0,211,20,0,4,0,156,5,132.8274789
1,12,225,5,72,16,3,159,2,45,13,2,124,0,30,10,0,91,0,20,9,0,69,0,16,7,176.8023354
1,68,319,0,17,37,35,212,0,9,27,10,138,0,5,20,3,85,0,3,15,1,53,0,0,8,187.9202432
1,101,386,0,724,7,40,281,0,394,2,7,206,0,189,2,2,148,0,78,1,0,125,0,34,1,120.9997918
1,57,177,3,412,19,27,119,2,329,15,12,71,1,250,12,5,47,0,194,9,2,30,0,141,7,119.6381602
1,11,83,0,5,2,7,57,0,2,2,4,33,0,0,2,0,22,0,0,1,0,19,0,0,1,464.3494751
1,156,533,0,19,7,75,347,0,10,5,34,222,0,7,4,18,157,0,7,4,8,100,0,3,2,201.6602151
1,914,4,0,53,2,469,4,0,20,2,198,2,0,8,1,48,2,0,4,0,7,2,0,1,0,189.2741702
1,803,3,0,39,2,439,3,0,15,1,188,3,0,2,1,55,3,0,1,0,11,3,0,1,0,184.7737745
1,612,3,1,13,2,335,2,1,5,2,139,1,0,1,1,45,1,0,0,1,12,0,0,0,0,225.7304841
1,1098,12,3,32,1,724,12,2,8,0,374,11,1,3,0,135,10,0,1,0,36,10,0,0,0,156.2661979
1,756,21,2,5,0,422,10,0,3,0,204,5,0,1,0,74,2,0,0,0,17,1,0,0,0,245.3243912
1,2772,12,2,8,0,1951,8,0,2,0,1106,6,0,1,0,439,5,0,1,0,113,5,0,0,0,179.0268382
1,2204,8,0,2,0,1403,7,0,1,0,714,5,0,0,0,293,5,0,0,0,104,4,0,0,0,217.8491825
1,1420,30,10,8,2,939,11,7,6,2,563,6,4,2,2,313,3,3,2,1,147,3,0,1,1,224.380237
1,525,26,2,94,4,329,7,2,49,1,169,4,0,19,0,73,2,0,15,0,29,1,0,7,0,186.9026478
1,1800,0,2,25,2,1286,0,1,5,2,685,0,0,0,2,227,0,0,0,0,55,0,0,0,0,124.9346103
