index,class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean
40,1,2929,9,45,21,2,2864,8,35,88,11,2455,4,11,24,6,1889,4,5,5,2,1211,4,2,1,2,98.58367682,101.4372759,11947.20003
41,1,2570,36,5,8,3,2512,72,5,15,18,2157,25,1,6,11,1611,13,0,1,7,1004,6,0,0,4,144.6380239,147.2087922,23731.64426
42,1,2179,17,17,17,3,2145,19,10,38,21,1820,14,3,12,15,1387,9,1,6,12,847,8,0,3,9,119.3774526,124.2801737,16262.08986
43,1,1233,82,42,24,9,1114,127,62,51,36,770,69,32,27,25,489,37,14,15,20,269,17,8,9,18,163.9864456,165.8313618,32519.88889
44,1,2431,206,15,16,12,2196,358,11,41,74,1739,249,4,20,52,1218,172,0,3,34,738,121,0,1,18,136.3850524,136.5491711,21827.76164
45,1,1880,67,15,22,0,1804,113,11,53,3,1355,71,4,44,2,817,43,1,25,1,400,19,1,12,0,149.9737436,155.3814873,26133.28003
46,1,1608,11,34,30,0,1569,16,31,67,0,1222,4,13,30,0,817,0,6,10,0,449,0,2,4,0,119.9176585,122.3567503,16308.42573
47,1,3258,41,48,40,2,3143,62,47,122,15,2684,47,18,100,13,2111,40,9,77,12,1524,33,2,59,10,115.6813723,119.7600836,16477.69505
48,1,4202,20,5,4,0,4159,47,6,16,3,3320,24,0,5,1,2248,10,0,1,1,1226,2,0,0,1,127.7151706,127.4896672,17265.098
49,1,2481,17,1,8,1,2456,34,0,16,2,1996,22,0,12,0,1438,8,0,6,0,876,2,0,3,0,144.8114311,146.6155996,22300.36843
50,1,6655,66,23,14,1,6449,182,52,56,20,5290,102,28,43,11,3625,51,16,32,8,2098,20,7,21,5,130.6570439,132.5378437,18740.77024
51,1,4420,14,3,11,0,4382,33,2,31,0,3621,13,0,14,0,2544,6,0,7,0,1500,1,0,3,0,131.5984215,136.3133093,19738.58674
52,1,621,28,8,9,0,613,30,2,20,1,410,22,0,9,1,251,9,0,2,1,124,2,0,0,1,146.3530973,152.7209046,25841.39735
53,1,859,7,284,5,0,673,3,466,9,4,542,0,248,3,3,410,0,105,3,1,272,0,41,0,0,155.1605669,153.7385037,37015.81412
54,1,1870,45,37,45,2,1820,51,28,89,11,1459,27,11,55,6,1038,16,2,25,4,540,11,1,7,2,157.5474103,160.225323,44267.48763
55,1,2499,11,19,9,2,2464,19,34,14,9,2014,11,17,10,4,1435,3,5,5,3,874,1,3,3,1,123.739514,130.9338334,17910.38811
56,1,1256,17,49,41,1,1181,22,52,104,5,896,10,20,43,1,603,4,7,18,0,293,3,3,7,0,128.2988572,134.3622109,22055.16831
57,1,1252,19,30,21,0,1220,20,23,53,6,899,8,11,40,4,617,4,3,27,4,351,2,2,14,1,158.7448587,162.3292828,38487.44443
58,1,1417,37,21,17,5,1378,46,20,40,13,1156,30,7,30,7,864,17,2,24,4,603,11,1,17,3,131.8058662,138.5181073,21671.1318
59,1,3838,16,163,6,2,3491,23,462,41,8,2932,19,177,13,4,2160,12,65,6,4,1326,7,30,4,2,103.3242137,107.4182414,16838.05483
60,1,1577,42,11,45,3,1533,61,1,75,8,1152,25,0,37,6,674,9,0,18,4,288,4,0,4,2,165.5037009,164.1234685,44584.81954
61,1,2187,6,1,3,0,2175,13,5,4,0,1627,2,3,0,0,1045,0,1,0,0,526,0,0,0,0,127.1604802,130.1026842,17676.11167
62,1,703,64,4,18,1,668,82,10,27,3,336,18,6,15,2,120,3,4,6,2,36,0,3,5,1,171.3304067,171.1560257,32382.98636
63,1,3285,60,78,20,1,3135,88,142,71,8,2330,47,65,38,6,1463,26,26,24,4,860,21,15,13,0,144.4891954,146.0690752,24167.44527
64,1,522,15,4,11,1,512,18,1,16,6,408,7,0,7,2,280,3,0,3,1,141,2,0,2,1,133.2200672,131.8940929,20277.81211
65,1,1996,17,8,29,2,1965,11,4,67,5,1593,4,2,24,2,1180,1,0,7,1,701,0,0,3,0,112.691051,115.531819,14511.23629
66,1,268,46,3,12,3,235,70,2,15,10,121,35,0,8,1,54,14,0,4,1,12,9,0,0,0,157.8031205,159.5864977,32732.90398
67,1,1759,28,60,106,1,1643,24,24,254,9,1176,9,6,103,5,708,3,3,40,3,304,0,0,13,3,135.9057682,136.1141168,23455.76425
68,1,2343,75,5,6,2,2261,141,5,13,11,1346,80,1,3,7,622,34,0,1,5,234,15,0,0,3,128.0325674,128.2416982,17251.92407
69,1,3067,8,12,6,0,3051,12,14,16,0,2705,6,3,6,0,2179,1,0,4,0,1501,1,0,1,0,115.1655021,117.3512805,15737.45171
70,1,3190,6,5,6,0,3169,7,13,17,1,2731,4,2,8,1,2126,0,0,3,1,1414,0,0,0,0,122.7689904,126.0936535,16550.1862
71,1,1685,91,9,21,2,1609,140,1,39,19,1252,72,0,19,15,795,30,0,8,11,423,10,0,5,7,133.1286287,134.944565,21175.20605
72,1,4349,361,19,36,11,3742,782,11,148,93,2987,633,3,125,83,2127,468,2,96,67,1333,337,2,68,42,133.1955982,135.140553,19535.57455
73,1,3267,15,13,8,1,3225,35,3,37,4,2633,18,1,7,3,1869,4,0,4,0,1118,1,0,1,0,114.9039628,115.311258,14040.43195
74,1,7111,14,2,1,1,7061,41,2,12,13,6007,14,1,8,5,4361,2,1,5,3,2487,1,1,2,0,125.1516505,125.3646904,16400.62684
75,1,4090,9,6,9,0,4055,17,2,39,1,3225,7,1,20,0,2102,1,0,8,0,950,0,0,4,0,122.8336554,122.9841063,15589.2993
76,1,483,32,2,24,2,466,40,2,29,6,350,33,1,6,1,225,33,0,2,0,111,31,0,1,0,160.9504516,161.9996366,38787.53528
