class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
1,1882,324,2,2,3,1636,547,4,9,17,1016,317,1,7,8,460,159,0,3,6,177,73,0,0,2,141.71761756168098,147.18119765386353,23582.157686471284,81.9872646,97.67775900000001,108.1306764,118.99691800000001,129.925232,142.27443820000002,156.72558000000004,174.81530740000005,199.2931976,81.9872646,97.67775900000001,108.1306764,118.99691800000001,129.925232,142.27443820000002,156.72558000000004,174.81530740000005,199.2931976,140.9740700313443,155.2837097787948,167.96618128010644,177.23857296856167,186.49962396315692,206.29977283865273,222.9518548018347,240.0626176258367,278.20064917473803,9278.699476378479,11139.850651450826,12960.03363125675,14647.418358093944,16197.846221031172,19089.759068401334,23237.56775366368,26930.138821894223,35204.260823465775
3,1999,214,2300,939,2,588,27,2643,2165,31,355,15,2322,1578,17,168,9,2044,902,7,56,2,1725,380,4,177.32373142280895,166.17657650476716,47791.12431187824,45.89155830000003,55.371887000000015,64.46960399999999,77.56784680000004,99.83927549999999,129.55939480000004,197.42377889999995,305.04963380000015,470.430441,45.89155830000003,55.371887000000015,64.46960399999999,77.56784680000004,99.83927549999999,129.55939480000004,197.42377889999995,305.04963380000015,470.430441,68.90391239715565,83.07724464523433,95.30618202084501,108.52670941340808,147.40022111865318,190.01873349491166,314.3979709058825,456.9640797315917,620.8250777824761,2266.283901453362,3294.9059789583007,4303.592587911503,5530.475156061742,10261.36329437789,16685.73905964729,43330.59970809985,86568.43470806252,156862.34632059687
4,811,376,1600,2701,3,158,143,458,4650,82,49,74,282,3721,50,14,40,165,2593,31,2,19,97,1569,11,88.38586370934256,88.79031382589692,12290.72707581434,40.496887000000015,47.50714099999999,53.05395499999997,58.53814699999998,64.66455100000002,72.90985100000002,84.72021499999998,108.54241900000002,163.33532700000004,40.496887000000015,47.50714099999999,53.05395499999997,58.53814699999998,64.66455100000002,72.90985100000002,84.72021499999998,108.54241900000002,163.33532700000004,62.01161538388028,71.0170781835415,77.96156956388218,84.87102166317467,91.9884953852427,101.64210969609654,115.9419906285439,157.62968264366276,239.92057490707933,1813.7726602435716,2394.0756633795577,2912.8656251501898,3423.082736929664,4022.8122235564797,4870.907954032611,6239.092043398533,11478.747862427133,26597.138831541997
3,1418,290,130,51,0,913,594,184,194,4,342,407,121,144,2,80,228,75,90,0,13,119,46,53,0,133.31813188035997,134.58249986553733,21417.396282032107,62.909747000000024,85.30807460000003,101.68863540000001,113.55703139999999,124.34774800000002,136.04554459999997,149.0304444,167.49007540000002,191.49502,62.909747000000024,85.30807460000003,101.68863540000001,113.55703139999999,124.34774800000002,136.04554459999997,149.0304444,167.49007540000002,191.49502,99.68813257697049,142.98380481253295,160.49902341847053,170.5933338652074,179.58180883370295,191.62232603236214,214.84681439563724,230.00315296528302,256.03300543134026,4540.131499824438,9491.985380706568,11880.078632665965,13606.776312065722,15172.781419973464,16969.019109005298,21817.007504935034,24816.515145835692,30254.997693467794
4,1761,198,944,1904,1,906,54,438,3400,10,525,31,313,2896,6,185,14,215,2068,6,53,9,164,1238,4,92.44230979409318,91.54092001975873,14538.261642211048,37.00152330000002,44.83785059999998,51.74530650000002,58.36024179999991,67.89857450000001,79.84819380000002,95.30401259999998,113.12438160000002,147.78080260000007,37.00152330000002,44.83785059999998,51.74530650000002,58.36024179999991,67.89857450000001,79.84819380000002,95.30401259999998,113.12438160000002,147.78080260000007,55.88445038747561,66.35754079024235,75.46448488710676,84.6240616140418,96.20268334135581,111.79842633686937,141.6056868672299,163.3127482953627,210.94570077326148,1465.7867971155092,2105.911545915325,2729.8481916246164,3429.570050615583,4391.200446554111,5955.724893460787,9569.614756461056,12587.235540874492,20590.32126301127
0,314,107,1,26,2,262,144,0,35,9,104,66,0,24,4,18,33,0,15,2,4,15,0,7,0,146.72191718666664,148.5335857177778,24327.430728958097,75.81578990000004,104.59875559999995,117.7474263,132.86830719999998,141.38586450000003,154.10377800000003,165.28732280000003,178.8554566,198.62423730000003,75.81578990000004,104.59875559999995,117.7474263,132.86830719999998,141.38586450000003,154.10377800000003,165.28732280000003,178.8554566,198.62423730000003,152.09029273448274,172.128123294567,181.0115668493226,192.12391254309478,208.58990388995863,221.49000242308875,229.73248510198863,242.9164378323406,261.70995681072117,10586.615905361426,13166.536462766177,15163.73249935348,16683.647880660188,20087.75812855927,23432.144837411695,25465.980205496366,28112.38698284108,32216.677115731734
0,544,134,53,116,3,379,189,42,230,10,164,115,23,154,7,58,53,14,78,5,22,28,8,33,3,114.50135816588234,112.00368652823528,15793.889040510308,42.605114500000035,52.551537800000006,67.72803959999999,88.1412966,106.70783999999998,127.35902079999994,144.5678803,166.56211420000005,192.23588400000003,42.605114500000035,52.551537800000006,67.72803959999999,88.1412966,106.70783999999998,127.35902079999994,144.5678803,166.56211420000005,192.23588400000003,61.42370954997908,77.72041827133872,98.51196539568689,136.99590887266814,164.55915754328007,184.24179967743487,213.70034820140017,231.57169403028357,260.0341739852836,1813.6589397217242,2952.16660159176,4536.09652291282,8939.065230874328,12766.345752173365,15638.835690729462,20945.890423619734,25123.331429627917,29596.659266299834
0,472,182,16,110,0,307,242,8,221,2,131,146,1,171,1,56,80,0,104,1,21,45,0,57,1,140.24368117051282,141.3045742,24712.718706405736,36.9936152,63.9754148,94.55093460000006,116.7470404,134.96759050000003,157.01107160000007,173.76445440000003,193.704567,223.64348700000005,36.9936152,63.9754148,94.55093460000006,116.7470404,134.96759050000003,157.01107160000007,173.76445440000003,193.704567,223.64348700000005,56.02726143317913,100.972046550115,143.3673834544271,177.743332066636,207.7741266789931,231.01354506657188,248.67711643546997,279.25469196461984,324.6226096477705,1479.982750721923,4848.151588465433,9524.148060904521,14701.695972118228,20783.980743886892,24820.6335998385,29029.54593325437,35458.99297024954,49339.419799096926
0,580,76,113,507,0,394,69,24,786,3,190,44,7,563,2,61,19,4,328,0,16,12,3,136,0,92.68740519043887,91.17651279780564,12631.850980326522,30.640323500000004,35.87576300000012,41.24688699999999,49.08813500000002,69.51473200000001,100.37133799999998,118.27557949999999,141.893936,172.9673805,30.640323500000004,35.87576300000012,41.24688699999999,49.08813500000002,69.51473200000001,100.37133799999998,118.27557949999999,141.893936,172.9673805,44.24813987235697,51.32227144162658,58.644931673062565,69.61314635697744,104.9266622438271,153.53679013101436,176.17993093982818,202.60923540696052,236.58859094728464,929.8934552153937,1261.0148251370872,1680.1606273957448,2356.7074207484475,5162.014142318878,11098.143579380327,14397.622986887585,18534.429452336175,26230.728422443754
0,640,30,104,271,2,543,20,30,450,4,247,13,15,323,1,92,6,7,179,1,16,4,1,76,1,109.97523349379179,108.77402970200573,17181.678944051266,33.510653999999995,41.37574420000002,59.11336040000005,81.04915500000001,99.95153800000003,114.89930440000005,132.34254180000002,154.03306880000002,183.3159426,33.510653999999995,41.37574420000002,59.11336040000005,81.04915500000001,99.95153800000003,114.89930440000005,132.34254180000002,154.03306880000002,183.3159426,49.17613253568615,61.58860369485269,86.61658093233108,120.80977825308375,150.79949815037358,169.55214830273303,185.2913724117387,221.17222913695184,250.06512372384566,1132.658167061272,1816.5943332305574,3508.7025865880532,6606.073857296256,10739.698270144452,13494.240846956352,16644.034087009743,23300.347842650783,29613.607916013603
0,1833,95,1489,376,0,744,25,1975,1036,13,536,14,1608,766,3,331,4,1212,505,3,138,0,870,281,2,167.26718209280253,159.94727740943844,42006.238998513814,47.667553999999996,58.8757152,71.73297100000002,86.03713379999996,103.03883400000001,126.44156500000005,176.75150439999996,269.58151520000035,417.492065,47.667553999999996,58.8757152,71.73297100000002,86.03713379999996,103.03883400000001,126.44156500000005,176.75150439999996,269.58151520000035,417.492065,74.61826371371102,91.46758859942442,105.18015820246254,121.77249328751822,149.76174851264312,183.82309406799305,272.1128480177849,387.9758017571457,579.6464427212114,2639.4264114191983,3933.686247549953,5265.603519095772,6697.575217080375,10492.82977737749,15431.998029025315,34068.39488072462,65257.93677838467,135704.0341869035
0,668,94,130,225,1,478,67,191,377,5,326,31,176,219,1,177,10,145,113,0,65,2,125,51,0,107.93678799105545,103.78304922808589,16982.459136839592,51.3445984,60.453274999999984,67.99298359999999,76.44274760000005,85.462738,94.7162838,106.21429479999999,120.02464019999994,159.29114920000018,51.3445984,60.453274999999984,67.99298359999999,76.44274760000005,85.462738,94.7162838,106.21429479999999,120.02464019999994,159.29114920000018,77.68351474907047,89.99791912326876,100.3578696473763,109.02257759465076,116.83824043998239,137.110328278728,147.48504848838772,165.2623961818142,231.64278256352455,2832.0535699579286,3843.556574745834,4843.837194271256,5675.437993075928,6460.620322917635,9127.825141906456,10372.349487856485,12873.591392547272,25736.591354889144
0,366,94,10,29,1,288,152,7,50,3,128,85,5,29,1,37,43,3,13,0,19,21,3,6,0,145.95049063399998,143.91905367200002,22516.546383968132,65.86560030000004,94.41833539999999,113.27701869999999,131.7477418,147.04562400000003,158.1233248,173.71521269999997,189.39709080000003,214.1556821,65.86560030000004,94.41833539999999,113.27701869999999,131.7477418,147.04562400000003,158.1233248,173.71521269999997,189.39709080000003,214.1556821,105.79389235955159,156.64869722204762,173.9305347479394,193.58513617230727,218.83346194151378,228.60399918376083,243.17085022065265,254.17208489674402,293.47519126068556,4848.339378217789,11001.627805926488,13957.169755640307,17079.135615956337,22539.36416245761,24701.212193547304,26855.315551994725,29781.565100755044,37522.17647511589
0,212,22,47,377,2,169,7,4,471,9,76,3,3,368,3,25,2,1,224,2,6,1,1,108,0,78.37360854090909,79.1476596409091,10019.348814615849,30.066516000000004,34.72240939999999,39.712271299999976,44.97616980000002,50.78217099999999,60.49921900000006,89.37999829999994,124.14032019999999,159.63570149999998,30.066516000000004,34.72240939999999,39.712271299999976,44.97616980000002,50.78217099999999,60.49921900000006,89.37999829999994,124.14032019999999,159.63570149999998,43.98286797941452,50.30716634825358,56.22652888124839,63.6204068351188,71.26842241653674,87.44347342854095,145.46752871228284,180.17235994057305,224.89594850350616,893.4687997027535,1218.6348042434736,1514.0369505560218,1978.41687599853,2428.592805546221,3566.5076931203557,9549.84123690924,15189.961169144854,24175.674028585465
1,1606,22,9,7,0,1569,41,9,21,4,1375,39,2,8,1,1055,39,1,5,1,670,37,0,2,0,120.26764355231143,120.50571583150852,21133.839985706803,62.39088129999996,72.23386860000001,79.96681449999998,90.2046124,98.79020650000001,109.4538252,122.34641000000002,142.850531,177.41055630000005,62.39088129999996,72.23386860000001,79.96681449999998,90.2046124,98.79020650000001,109.4538252,122.34641000000002,142.850531,177.41055630000005,96.20244002262275,106.27506792739695,115.54672564236101,133.40460025794692,144.47625088049261,158.3751310104336,175.60109344660174,203.873129886304,238.06473812205923,4481.4299515268885,5379.622782167537,6330.106430813767,8517.918425915574,9796.425202309896,11538.930852192289,14335.906726451654,18377.508065255297,27236.62561342327
