index,class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_s_005,LSIL_s_005,ASCH_s_005,HSIL_s_005,SCC_s_005,ASCUS_s_01,LSIL_s_01,ASCH_s_01,HSIL_s_01,SCC_s_01,ASCUS_s_02,LSIL_s_02,ASCH_s_02,HSIL_s_02,SCC_s_02,ASCUS_s_03,LSIL_s_03,ASCH_s_03,HSIL_s_03,SCC_s_03,ASCUS_s_04,LSIL_s_04,ASCH_s_04,HSIL_s_04,SCC_s_04,ASCUS_s_05,LSIL_s_05,ASCH_s_05,HSIL_s_05,SCC_s_05,ASCUS_s_06,LSIL_s_06,ASCH_s_06,HSIL_s_06,SCC_s_06,ASCUS_s_07,LSIL_s_07,ASCH_s_07,HSIL_s_07,SCC_s_07,ASCUS_s_08,LSIL_s_08,ASCH_s_08,HSIL_s_08,SCC_s_08,ASCUS_s_09,LSIL_s_09,ASCH_s_09,HSIL_s_09,SCC_s_09,ASCUS_s_099,LSIL_s_099,ASCH_s_099,HSIL_s_099,SCC_s_099,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_01,LSIL_c_01,ASCH_c_01,HSIL_c_01,SCC_c_01,ASCUS_c_02,LSIL_c_02,ASCH_c_02,HSIL_c_02,SCC_c_02,ASCUS_c_03,LSIL_c_03,ASCH_c_03,HSIL_c_03,SCC_c_03,ASCUS_c_04,LSIL_c_04,ASCH_c_04,HSIL_c_04,SCC_c_04,ASCUS_c_05,LSIL_c_05,ASCH_c_05,HSIL_c_05,SCC_c_05,ASCUS_c_06,LSIL_c_06,ASCH_c_06,HSIL_c_06,SCC_c_06,ASCUS_c_07,LSIL_c_07,ASCH_c_07,HSIL_c_07,SCC_c_07,ASCUS_c_08,LSIL_c_08,ASCH_c_08,HSIL_c_08,SCC_c_08,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
103,1,1759,28,60,106,1,1491,12,24,104,1,1169,8,13,77,1,903,6,9,50,1,769,5,7,39,1,667,5,4,34,1,564,4,4,27,1,500,3,1,22,1,429,3,0,17,1,355,2,0,11,0,275,1,0,5,0,90,0,0,0,0,1643,24,24,254,9,1643,24,24,254,9,1643,24,24,254,9,1638,24,24,248,9,1627,24,21,230,9,1599,21,19,209,9,1524,20,16,185,8,1446,16,15,162,7,1349,14,11,131,5,1176,9,6,103,5,708,3,3,40,3,304,0,0,13,3,135.9057682359,136.1141167523,23455.7642492528,65.4388118,79.6712762,90.2362126,101.6734196,112.668636,126.6602602,147.6462029,174.8155868,215.9494445,65.4388118,79.6712762,90.2362126,101.6734196,112.668636,126.6602602,147.6462029,174.8155868,215.9494445,101.316877228,116.7829951202,137.7273136777,151.0490129032,166.1349677154,185.7655306874,219.2279451491,248.3494814921,308.7254965147,4803.3671233452,6249.2280520368,9110.4783210984,10549.9577701429,12661.1592268887,15474.9582750934,22219.758182007,28124.863422679,42400.9460348073
104,1,2343,75,5,6,2,2180,73,5,6,2,1822,52,4,4,1,1504,26,2,4,0,1285,18,2,3,0,1134,16,2,2,0,1031,8,1,1,0,926,4,1,0,0,805,3,1,0,0,672,1,1,0,0,496,0,0,0,0,147,0,0,0,0,2261,141,5,13,11,2261,141,5,13,11,2261,141,5,13,11,2261,141,5,13,11,2248,141,5,12,11,2193,136,5,11,11,2024,120,4,7,11,1847,113,4,5,10,1639,97,4,5,9,1346,80,1,3,7,622,34,0,1,5,234,15,0,0,3,128.0325673941,128.2416981724,17251.9240661138,80.586731,93.507111,102.807457,111.26284,120.72757,131.07241,143.828094,159.905548,183.104279,80.586731,93.507111,102.807457,111.26284,120.72757,131.07241,143.828094,159.905548,183.104279,128.8759767717,146.4414557893,158.381566795,167.4155983997,176.1245681102,184.7584231438,205.5134051267,221.7911312363,241.3940114668,8087.4161147395,10085.994244475,11768.9926306493,13215.8005111877,14614.2651769751,16156.1764614014,19659.1940748363,23533.6665986154,27367.8337960781
105,1,3067,8,12,6,0,2858,7,7,6,0,2286,4,5,3,0,1815,4,4,3,0,1574,4,4,1,0,1394,4,3,1,0,1228,3,3,1,0,1079,3,1,1,0,954,2,1,0,0,824,1,1,0,0,599,0,0,0,0,224,0,0,0,0,3051,12,14,16,0,3051,12,14,16,0,3051,12,14,16,0,3050,11,14,16,0,3048,11,14,16,0,3037,11,12,16,0,2991,10,11,14,0,2930,8,7,12,0,2841,7,5,9,0,2705,6,3,6,0,2179,1,0,4,0,1501,1,0,1,0,115.1655020905,117.3512804814,15737.4517094565,63.7364808,76.8444636,87.75986,96.4557652,105.423919,113.6522332,124.4861388,140.277283,170.0514892,63.7364808,76.8444636,87.75986,96.4557652,105.423919,113.6522332,124.4861388,140.277283,170.0514892,100.6638811929,114.3136191561,135.7217448506,145.6034267544,155.111180602,166.4448451375,177.8103338883,199.584102578,231.2739123238,4818.7889517572,6224.6011760352,8742.2531046868,9987.8216838672,11431.5997816541,13068.2930797563,14899.9184975482,17845.4065707355,25249.166421249
106,1,3190,6,5,6,0,3083,2,3,6,0,2544,1,2,2,0,2070,1,1,0,0,1784,1,1,0,0,1596,1,1,0,0,1417,1,0,0,0,1265,1,0,0,0,1131,0,0,0,0,952,0,0,0,0,718,0,0,0,0,256,0,0,0,0,3169,7,13,17,1,3169,7,13,17,1,3169,7,13,17,1,3169,7,13,17,1,3169,7,12,16,1,3162,6,9,14,1,3090,6,8,14,1,3007,5,6,12,1,2913,5,5,11,1,2731,4,2,8,1,2126,0,0,3,1,1414,0,0,0,0,122.7689903598,126.0936534702,16550.1861971615,70.3337558,84.2046148,94.2545478,103.3064302,112.065278,123.1941482,136.4088242,154.8017578,184.8041128,70.3337558,84.2046148,94.2545478,103.3064302,112.065278,123.1941482,136.4088242,154.8017578,184.8041128,109.9267774853,136.4056437601,149.0708052152,160.407616404,171.3686907671,181.8648356836,196.6643579122,219.1024558514,244.4188461776,5764.7013251924,8819.1992788198,10340.5958822465,11959.1682320283,13513.7898687902,15133.5107876231,17174.6169625442,22401.956706331,26995.0314350103
107,1,1685,91,9,21,2,1547,86,2,21,2,1343,63,1,15,2,1150,43,1,6,1,1038,35,1,4,1,945,29,1,2,0,868,22,0,2,0,782,15,0,2,0,705,10,0,2,0,606,5,0,0,0,467,1,0,0,0,145,0,0,0,0,1609,140,1,39,19,1609,140,1,39,19,1609,140,1,39,19,1609,140,1,39,19,1604,140,1,39,19,1589,138,1,34,19,1541,120,0,28,19,1474,102,0,26,17,1394,89,0,21,15,1252,72,0,19,15,795,30,0,8,11,423,10,0,5,7,133.1286286704,134.9445649978,21175.2060544348,68.4371799,84.8871884,97.4138826,108.4937346,120.548004,134.1795564,150.5592772,171.0513858,201.8681266,68.4371799,84.8871884,97.4138826,108.4937346,120.548004,134.1795564,150.5592772,171.0513858,201.8681266,105.5889355442,129.9684979877,148.2635703207,163.7844732636,176.2362322183,190.3851130394,219.4486257277,239.7674435431,279.8129254732,5382.0137310121,7892.1470344483,10319.4684476371,12569.4431351443,14775.3598432117,17111.7879750349,22648.7202736257,26855.2931509209,36172.8097411409
108,1,4349,361,19,36,11,3598,320,7,33,11,2984,249,5,26,5,2464,190,4,17,4,2115,158,2,14,2,1882,127,1,14,2,1689,102,1,9,2,1533,87,1,8,2,1369,64,1,7,2,1160,39,1,4,2,882,20,0,2,1,329,0,0,1,0,3742,782,11,148,93,3742,782,11,148,93,3742,782,11,148,93,3741,782,11,148,93,3735,782,11,148,93,3721,779,11,143,92,3606,752,8,139,89,3453,720,6,135,87,3269,684,6,133,87,2987,633,3,125,83,2127,468,2,96,67,1333,337,2,68,42,133.1955981662,135.1405529638,19535.5745482598,77.6119825,93.174561,104.0685125,112.972443,123.3079375,134.744843,149.2990115,167.278961,191.670624,77.6119825,93.174561,104.0685125,112.972443,123.3079375,134.744843,149.2990115,167.278961,191.670624,127.6675447436,147.8202609777,160.6132780685,170.5076194186,180.2114967677,192.2341523769,213.2014295266,229.3615055761,257.2489397463,7217.3571222711,10163.2359032065,11873.2150538216,13524.4043775592,15056.8604263797,16953.0120318665,21193.7586501472,24694.8836614586,30701.8552626968
109,1,3267,15,13,8,1,3120,14,10,8,1,2547,13,7,5,0,2013,11,5,4,0,1696,8,3,4,0,1510,7,1,1,0,1369,5,0,1,0,1216,4,0,1,0,1088,4,0,1,0,928,2,0,1,0,721,1,0,1,0,275,0,0,0,0,3225,35,3,37,4,3225,35,3,37,4,3225,35,3,37,4,3224,35,3,35,4,3221,35,3,33,4,3201,35,2,28,4,3096,30,2,24,3,2991,27,1,20,3,2858,23,1,12,3,2633,18,1,7,3,1869,4,0,4,0,1118,1,0,1,0,114.9039628366,115.3112579906,14040.431954128,69.0230839,81.5714518,91.5180187,100.2606082,108.660446,117.6113036,128.8033035,142.9723142,166.507541,69.0230839,81.5714518,91.5180187,100.2606082,108.660446,117.6113036,128.8033035,142.9723142,166.507541,107.4254830519,126.538129961,140.841351028,151.4009036212,161.9116294074,170.9606548903,180.8445553321,199.543789777,222.8743453794,5367.5712618391,7123.448875335,9336.6588810196,10609.41858927,12128.3705653451,13583.4871203299,15152.9777581548,17721.5998922389,23357.2702583244
110,1,7111,14,2,1,1,6853,12,1,1,1,5750,9,1,1,1,4677,6,1,1,1,4075,5,1,1,1,3610,3,1,1,1,3239,1,1,0,1,2877,1,1,0,0,2523,1,1,0,0,2138,1,1,0,0,1594,0,0,0,0,565,0,0,0,0,7061,41,2,12,13,7061,41,2,12,13,7061,41,2,12,13,7060,41,2,12,13,7054,41,2,12,13,7031,38,2,12,12,6850,31,2,11,9,6675,24,1,10,8,6449,20,1,10,7,6007,14,1,8,5,4361,2,1,5,3,2487,1,1,2,0,125.1516504608,125.3646903699,16400.6268419494,81.3695192,92.7381714,102.0835936,109.9384404,118.122368,127.0192014,138.3078752,153.778894,176.5524716,81.3695192,92.7381714,102.0835936,109.9384404,118.122368,127.0192014,138.3078752,153.778894,176.5524716,127.8953111686,145.3362212358,154.7332530823,163.9465015295,172.3514994518,180.9187217738,193.2269720242,214.2990588186,233.7030828828,7340.3305559523,9902.4342937918,11295.9402541008,12646.7830238266,14016.0437900739,15456.8812512119,17369.3341258339,21890.674050665,25837.5622526429
111,1,4090,9,6,9,0,3974,8,5,9,0,3203,8,4,6,0,2574,6,2,4,0,2143,6,0,3,0,1862,5,0,1,0,1636,3,0,1,0,1413,3,0,1,0,1197,2,0,1,0,990,0,0,0,0,746,0,0,0,0,249,0,0,0,0,4055,17,2,39,1,4055,17,2,39,1,4055,17,2,39,1,4055,17,2,39,1,4053,16,2,38,1,4038,16,2,35,1,3925,12,1,31,0,3785,11,1,24,0,3588,8,1,23,0,3225,7,1,20,0,2102,1,0,8,0,950,0,0,4,0,122.833655414,122.9841062832,15589.2993047132,83.2130251,95.9748838,104.9531983,112.0368892,118.899876,126.7146306,136.7080345,150.8040528,169.4386328,83.2130251,95.9748838,104.9531983,112.0368892,118.899876,126.7146306,136.7080345,150.8040528,169.4386328,130.9841642443,148.3201452189,157.6907860812,166.0383868142,172.7559295299,179.4341211677,190.0534903111,210.8026459109,225.8665843724,8161.5253106614,10380.6600077373,11884.7392342972,13190.197570134,14258.2070521188,15430.548052825,17003.3263195197,21315.928220895,24883.6068720548
112,1,483,32,2,24,2,459,28,2,23,2,387,23,2,16,2,312,20,1,11,2,274,14,1,8,1,250,11,1,6,0,221,9,1,6,0,206,6,1,3,0,183,3,1,2,0,161,0,1,2,0,123,0,0,1,0,41,0,0,0,0,466,40,2,29,6,466,40,2,29,6,466,40,2,28,6,466,40,2,27,6,463,40,2,23,5,456,39,2,20,5,437,37,2,18,5,418,34,1,15,5,394,34,1,14,5,350,33,1,6,1,225,33,0,2,0,111,31,0,1,0,160.9504515893,161.9996365838,38787.5352779595,74.7801516,90.1904268,103.7314878,114.3607998,126.945923,144.5948224,161.9740332,186.2261428,237.5746626,74.7801516,90.1904268,103.7314878,114.3607998,126.945923,144.5948224,161.9740332,186.2261428,237.5746626,124.5771025667,145.9784982726,160.6517881536,172.4537404089,185.4154898267,207.5937988687,229.3477618619,256.3520905841,327.8927573879,6670.9008532768,10208.2866885526,11970.8851687677,13573.7154124948,15506.8276685507,18551.4246825548,24376.13826613,30056.3097332813,47573.5740238326
