index,class_i,ASCUS_s,LSIL_s,ASCH_s,HSIL_s,SCC_s,ASCUS_s_005,LSIL_s_005,ASCH_s_005,HSIL_s_005,SCC_s_005,ASCUS_s_01,LSIL_s_01,ASCH_s_01,HSIL_s_01,SCC_s_01,ASCUS_s_02,LSIL_s_02,ASCH_s_02,HSIL_s_02,SCC_s_02,ASCUS_s_03,LSIL_s_03,ASCH_s_03,HSIL_s_03,SCC_s_03,ASCUS_s_04,LSIL_s_04,ASCH_s_04,HSIL_s_04,SCC_s_04,ASCUS_s_05,LSIL_s_05,ASCH_s_05,HSIL_s_05,SCC_s_05,ASCUS_s_06,LSIL_s_06,ASCH_s_06,HSIL_s_06,SCC_s_06,ASCUS_s_07,LSIL_s_07,ASCH_s_07,HSIL_s_07,SCC_s_07,ASCUS_s_08,LSIL_s_08,ASCH_s_08,HSIL_s_08,SCC_s_08,ASCUS_s_09,LSIL_s_09,ASCH_s_09,HSIL_s_09,SCC_s_09,ASCUS_s_099,LSIL_s_099,ASCH_s_099,HSIL_s_099,SCC_s_099,ASCUS_c,LSIL_c,ASCH_c,HSIL_c,SCC_c,ASCUS_c_01,LSIL_c_01,ASCH_c_01,HSIL_c_01,SCC_c_01,ASCUS_c_02,LSIL_c_02,ASCH_c_02,HSIL_c_02,SCC_c_02,ASCUS_c_03,LSIL_c_03,ASCH_c_03,HSIL_c_03,SCC_c_03,ASCUS_c_04,LSIL_c_04,ASCH_c_04,HSIL_c_04,SCC_c_04,ASCUS_c_05,LSIL_c_05,ASCH_c_05,HSIL_c_05,SCC_c_05,ASCUS_c_06,LSIL_c_06,ASCH_c_06,HSIL_c_06,SCC_c_06,ASCUS_c_07,LSIL_c_07,ASCH_c_07,HSIL_c_07,SCC_c_07,ASCUS_c_08,LSIL_c_08,ASCH_c_08,HSIL_c_08,SCC_c_08,ASCUS_c_09,LSIL_c_09,ASCH_c_09,HSIL_c_09,SCC_c_09,ASCUS_c_099,LSIL_c_099,ASCH_c_099,HSIL_c_099,SCC_c_099,ASCUS_c_0999,LSIL_c_0999,ASCH_c_0999,HSIL_c_0999,SCC_c_0999,w_mean,h_mean,v_mean,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,h_01,h_02,h_03,h_04,h_05,h_06,h_07,h_08,h_09,d_01,d_02,d_03,d_04,d_05,d_06,d_07,d_08,d_09,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09
1,1,1099,32,12,15,2,1039,29,6,15,2,845,18,3,8,1,691,10,0,4,1,623,8,0,3,1,560,7,0,3,0,509,5,0,2,0,459,4,0,2,0,413,3,0,2,0,351,1,0,1,0,272,0,0,0,0,97,0,0,0,0,1067,44,13,31,5,1067,44,13,31,5,1067,44,13,31,5,1067,44,13,31,4,1063,44,10,31,4,1050,43,8,31,2,984,39,7,31,2,925,36,7,31,2,843,31,5,29,1,704,22,5,28,1,347,7,1,19,0,145,3,0,17,0,159.8118586362,163.1002011069,27832.7016683442,98.5687437,121.5907414,137.3511564,149.333081,159.4295655,169.0500854,177.9814576,190.232645,208.490802,98.5687437,121.5907414,137.3511564,149.333081,159.4295655,169.0500854,177.9814576,190.232645,208.490802,160.4071382839,181.2191829111,208.9068623993,220.1226192269,230.3111332464,239.4945882293,249.7689935321,270.4098203018,303.5550211304,11724.9505991587,15527.5855453292,20512.6808815481,23353.8221181381,25691.2947047236,27637.646344706,29824.0344046515,34197.865940992,43341.8804597121
2,3,2172,23,125,44,0,1957,19,98,41,0,1731,12,76,20,0,1499,9,57,12,0,1341,8,50,7,0,1233,6,44,6,0,1162,5,38,5,0,1087,2,34,5,0,1014,1,30,4,0,920,1,21,3,0,790,0,15,2,0,424,0,4,0,0,2034,21,206,86,17,2034,21,206,86,17,2034,21,206,86,17,2033,21,206,85,16,2028,21,202,85,16,2011,21,197,83,16,1970,19,185,82,16,1928,16,174,77,16,1862,16,166,76,16,1777,15,138,68,13,1501,9,87,46,10,1156,5,43,28,7,125.8144128837,124.179465783,18874.0273788805,66.3888063,80.9518312,91.3308932,100.562408,110.3858795,119.1812744,131.7061752,151.939566,189.8452173,66.3888063,80.9518312,91.3308932,100.562408,110.3858795,119.1812744,131.7061752,151.939566,189.8452173,103.8768576966,119.6887257711,138.9913257098,147.5977217244,157.9126097591,170.3293269115,186.1364001557,217.0080400694,263.2836418465,5081.6660540187,6627.752455961,9239.3185945791,10256.6065929895,11737.1050370397,13598.559237489,16107.2988276089,21890.6245425983,31666.1272853154
3,2,1903,1611,120,310,1,883,1408,55,307,1,746,1185,38,245,0,616,958,23,186,0,529,813,16,151,0,475,688,12,130,0,417,574,8,111,0,359,485,6,98,0,295,378,5,84,0,240,280,5,64,0,172,141,4,45,0,29,18,0,14,0,751,2250,75,857,12,751,2250,75,857,12,751,2250,75,857,12,751,2249,74,856,12,743,2245,73,854,11,713,2228,67,847,11,622,2164,64,835,9,501,2086,60,821,9,399,1972,59,795,8,277,1796,53,768,5,85,1260,39,639,0,23,798,26,506,0,131.4803861275,133.9479726973,20945.4873144745,60.7301372,79.884893,96.6286252,108.2747838,120.401016,132.9364444,151.9710136,170.9300722,199.471733,60.7301372,79.884893,96.6286252,108.2747838,120.401016,132.9364444,151.9710136,170.9300722,199.471733,90.9460154385,128.9858974765,149.9656569513,163.2903829652,176.1760888274,191.2994220375,221.8488215878,242.0511154066,283.106398823,3886.5994148849,7141.4939905052,10701.9441734647,12496.5508466765,14476.873297287,16916.4121738356,23546.874793343,27645.722957711,36937.8006445103
4,4,4676,148,633,260,10,3314,69,350,237,10,2777,50,235,161,9,2270,33,160,101,5,2020,23,124,75,5,1783,17,93,52,4,1596,13,64,41,2,1438,12,45,22,1,1272,10,34,15,1,1076,6,18,5,1,830,3,9,3,0,307,0,0,0,0,3690,155,345,1282,255,3690,155,345,1282,255,3690,155,345,1282,255,3688,155,343,1282,254,3663,155,339,1279,252,3592,153,315,1262,244,3390,140,273,1220,228,3124,123,239,1167,212,2823,112,207,1110,196,2361,102,163,1002,179,1207,58,76,636,124,474,30,34,343,68,111.786953674,114.4687319492,16617.7483731599,49.7884342,62.3772524,73.6765258,84.3619992,96.099305,108.3848754,122.6919068,144.0089956,181.1485598,49.7884342,62.3772524,73.6765258,84.3619992,96.099305,108.3848754,122.6919068,144.0089956,181.1485598,78.9290443004,95.7712577319,109.8255449567,132.2874059443,146.3098640424,161.6956515776,177.1491133711,208.4730425713,249.8645111075,2989.5603488319,4328.0399224953,5698.0346863726,8125.2679146941,9913.8103674286,11876.9784075558,14250.6897990548,19237.9086289373,28969.4017148968
5,2,347,65,31,86,1,292,60,9,84,1,243,39,7,40,1,204,29,6,21,1,174,23,3,11,1,155,18,2,8,1,139,16,2,7,1,129,12,2,4,1,116,9,2,3,1,102,7,1,3,1,72,2,1,2,0,25,0,0,0,0,294,84,10,138,4,294,84,10,138,4,294,84,10,138,4,294,84,10,137,3,294,83,10,136,3,284,83,10,135,3,262,79,10,132,3,240,75,9,121,1,202,72,9,114,0,158,67,8,100,0,65,42,5,46,0,17,23,2,17,0,149.8016336094,147.2781753868,33467.5117554945,40.4932554,59.8124144,93.0246036,108.890338,123.3849375,140.5796846,165.6724176,188.887231,269.2831561,40.4932554,59.8124144,93.0246036,108.890338,123.3849375,140.5796846,165.6724176,188.887231,269.2831561,57.8629898402,87.494595795,139.0654294901,162.7797110934,179.6859955897,202.1695169061,230.3586656273,261.3906155991,364.4083045006,1559.0771943815,3714.9633039195,9296.0268697377,12564.3706197722,15203.1411801465,19854.2027038585,25534.180172907,32414.0921689083,56669.8136021992
6,2,406,231,4,21,5,258,224,0,21,5,214,196,0,14,2,163,162,0,7,2,140,140,0,6,0,122,130,0,3,0,107,114,0,3,0,88,104,0,2,0,77,89,0,2,0,63,63,0,2,0,38,40,0,2,0,9,9,0,0,0,261,351,0,43,12,261,351,0,43,12,261,351,0,43,12,261,351,0,43,12,259,351,0,42,12,248,345,0,40,11,211,329,0,34,11,185,302,0,33,10,147,281,0,32,8,108,251,0,27,6,39,165,0,14,4,14,107,0,9,1,187.7658481154,191.4712831199,49325.8293128186,77.5651062,101.396106,118.231336,135.9549272,154.570099,172.142856,191.6569088,216.7559756,385.4974028,77.5651062,101.396106,118.231336,135.9549272,154.570099,172.142856,191.6569088,216.7559756,385.4974028,136.2266471807,162.49407867,178.5375061647,205.2550466525,227.4637935995,243.8724424289,264.114699227,316.8645063842,544.9263226503,8647.7079118851,11926.1204673846,15075.9878785766,18930.9426380995,24334.5235821739,28303.6701720674,33244.9302865363,48414.0828444606,137810.918924307
7,4,674,11,651,190,2,377,2,357,183,2,326,2,275,115,1,276,1,195,68,1,232,1,153,45,1,206,1,114,37,1,186,1,96,30,1,171,0,75,22,1,154,0,50,17,1,122,0,30,9,1,95,0,13,3,1,42,0,1,0,0,401,4,425,672,26,401,4,425,672,26,401,4,425,672,26,398,4,422,672,26,386,4,408,666,26,352,4,387,663,24,295,3,352,656,24,247,3,312,638,21,194,3,273,614,17,138,1,208,573,15,47,0,108,429,7,9,0,62,265,2,109.0779449005,103.037859644,19248.1094798837,38.9816837,47.0854938,54.1969969,61.3167236,70.401825,82.975049,100.1718573,126.3413944,249.5642451,38.9816837,47.0854938,54.1969969,61.3167236,70.401825,82.975049,100.1718573,126.3413944,249.5642451,58.583631002,72.670385661,83.3272199901,92.0088243618,102.434818293,117.7199095535,147.8449731747,178.7000446755,340.6129387462,1631.140260208,2537.0371087018,3265.5273604099,4009.4413283875,4871.2870365574,6330.1200376013,10130.5081688786,14847.1561012563,52918.0631169944
8,3,1080,207,274,313,4,755,96,206,298,4,597,67,153,198,3,455,37,103,115,2,363,24,90,79,1,314,18,76,54,1,268,16,66,39,1,225,10,56,32,1,181,8,43,25,1,142,3,29,13,1,97,1,16,5,1,18,0,4,1,0,784,148,388,520,38,784,148,388,520,38,784,148,388,520,38,784,148,388,519,38,766,143,385,506,37,725,130,369,488,35,675,110,349,446,30,614,97,317,418,26,552,77,287,370,24,453,56,249,301,20,196,21,165,139,12,47,5,91,57,7,121.7077382178,124.0762864084,24164.9257344726,51.4147641,62.1734374,72.6903355,82.0270392,93.0390015,104.478422,115.9861758,137.7282746,197.0291215,51.4147641,62.1734374,72.6903355,82.0270392,93.0390015,104.478422,115.9861758,137.7282746,197.0291215,82.1847732538,96.2990076833,107.0717747954,118.1067858667,141.0063714756,150.4821651032,165.6294183582,185.9978084339,314.0480018805,3248.1422861723,4333.2767413295,5415.7694603623,6453.5083816162,9394.503630783,10636.0683538482,12555.3640744735,16091.6940705994,43500.4630149845
9,4,1802,731,1126,4042,4,318,205,266,3416,4,246,138,141,2807,2,172,84,62,2090,2,142,53,35,1714,2,121,35,23,1393,1,104,29,16,1144,1,94,19,8,939,1,83,13,7,726,1,63,7,3,540,0,41,1,1,310,0,13,1,0,36,0,255,136,67,6796,451,255,136,67,6796,451,255,136,67,6796,451,253,135,67,6781,449,247,133,65,6734,444,226,128,64,6594,420,194,119,59,6266,378,169,108,54,5924,326,145,89,54,5477,281,106,71,47,4776,214,38,27,28,2628,91,11,8,19,1057,37,155.2731009003,149.3151558472,54716.8063468075,35.9588668,42.876477,49.4104738,56.0448672,64.021851,74.6031374,94.6600708,297.1919006,542.323279,35.9588668,42.876477,49.4104738,56.0448672,64.021851,74.6031374,94.6600708,297.1919006,542.323279,53.3855298662,62.6010778554,72.7740465566,83.2788984455,94.0129498475,105.2176722791,138.377516111,435.2572267493,737.0974155668,1357.6278181736,1890.492669439,2549.2622405846,3310.206772746,4223.0228468002,5216.6481837592,9047.3737116153,77335.76496853,260418.127957372
10,4,2432,201,1148,214,4,1253,61,962,207,4,993,41,784,146,4,779,26,616,87,2,653,16,513,63,1,585,11,442,42,1,515,8,383,29,0,443,3,332,23,0,366,1,274,15,0,311,1,217,12,0,211,0,142,7,0,62,0,35,0,0,1288,80,2037,579,15,1288,80,2037,579,15,1288,80,2037,578,15,1288,79,2037,578,15,1282,78,2029,568,15,1245,74,2014,556,13,1182,62,1986,521,13,1102,50,1954,496,12,1018,39,1898,442,10,870,25,1806,375,6,476,6,1490,193,1,233,2,1198,88,0,153.1839561913,149.8711084331,34892.1655136498,54.5574828,66.8071042,78.263956,90.5819336,104.620759,121.8348388,149.290527,198.4603394,341.911169,54.5574828,66.8071042,78.263956,90.5819336,104.620759,121.8348388,149.290527,198.4603394,341.911169,86.0809869558,100.0950820795,112.6634580097,137.3743320822,152.7336900229,171.74366529,227.4006390698,310.705323392,501.758236124,3463.9241019847,4666.1296817142,5884.2053143629,8941.6503513371,10893.8452513871,13715.8026694146,23778.2248689763,43323.63270303,105886.351919734
11,2,1376,963,11,42,7,827,948,8,41,7,680,834,6,27,5,556,711,2,19,2,470,615,2,16,1,417,542,1,13,1,359,464,0,12,1,306,400,0,11,1,252,328,0,9,1,201,246,0,8,1,125,144,0,6,0,25,27,0,1,0,810,1492,13,70,14,810,1492,13,70,14,810,1492,13,70,14,810,1492,13,70,14,808,1491,13,69,12,790,1477,13,67,12,686,1386,13,64,11,591,1296,12,59,9,491,1182,11,54,8,350,1006,9,49,7,110,614,5,30,4,28,369,2,15,1,165.7676519758,164.6927043939,31727.9876465096,82.1730468,102.7079528,118.1150024,134.0256626,150.721802,168.120093,184.364221,204.8811518,262.836194,82.1730468,102.7079528,118.1150024,134.0256626,150.721802,168.120093,184.364221,204.8811518,262.836194,139.3087471636,161.0599941013,178.4199006851,198.6447529015,224.0330503913,241.3725334317,259.2019838366,299.3260383594,344.5609717727,9134.001501088,12006.1123986544,14655.7620671056,17806.2675090192,23728.5853860477,27171.5459960822,31509.7498507694,41549.6612152282,54678.3373910903
12,2,499,359,3,11,6,272,354,0,10,6,198,303,0,7,3,146,250,0,5,2,120,222,0,3,2,94,199,0,3,2,78,182,0,2,0,68,164,0,2,0,52,152,0,2,0,35,121,0,2,0,23,85,0,2,0,0,39,0,0,0,267,577,1,17,16,267,577,1,17,16,267,577,1,17,16,267,576,1,17,16,264,574,1,16,16,254,565,1,16,15,231,545,1,15,11,199,524,1,15,9,165,494,0,14,9,121,443,0,12,7,37,320,0,7,3,6,217,0,2,1,135.5572848497,138.7579384932,20564.7988198677,81.8884583,94.6711184,105.6346376,115.332373,124.659151,135.53241,147.9965393,165.968788,196.402796,81.8884583,94.6711184,105.6346376,115.332373,124.659151,135.53241,147.9965393,165.968788,196.402796,140.8510568408,153.0190163189,164.5984140271,171.9197630999,179.9023830183,191.7329448112,216.7961868784,234.6841006404,261.3186377949,9218.4958095259,11095.2300185863,12350.7794710457,13705.7129835355,15220.2491629033,16938.7001572483,21760.9417123378,25528.8187654587,32162.80723482
13,4,2384,246,281,132,7,1762,174,179,126,7,1558,122,142,93,6,1318,72,98,55,3,1201,48,78,44,2,1106,37,67,30,1,1021,24,54,24,1,927,14,37,19,1,834,12,29,16,1,729,7,16,13,0,552,3,6,7,0,213,0,0,1,0,1862,358,255,514,61,1862,358,255,514,61,1862,358,255,514,61,1861,358,255,514,61,1841,358,248,508,58,1782,355,233,494,55,1592,338,206,472,55,1438,311,177,445,54,1251,277,146,415,49,969,249,109,360,45,398,148,44,216,31,143,83,22,122,18,123.2110043082,123.9866494515,19766.319016525,54.8214529,67.1357056,78.5207453,91.973459,104.482277,118.522711,138.2522843,166.6092896,201.5468687,54.8214529,67.1357056,78.5207453,91.973459,104.482277,118.522711,138.2522843,166.6092896,201.5468687,85.0001275985,101.2977550134,114.5055234206,139.7147593002,155.7502045356,171.1713678516,200.83408281,233.2878123839,287.1580044772,3445.9517314149,4853.3474027992,6174.638802051,9254.3505996639,11229.7342051398,13584.041564306,18082.9767084619,25613.314126035,37512.0142422487
14,3,1135,49,177,155,1,852,24,100,153,1,666,18,81,101,1,514,11,54,53,0,423,4,38,29,0,363,3,34,21,0,306,1,27,17,0,264,1,24,13,0,227,1,19,8,0,181,1,14,6,0,126,0,9,2,0,38,0,0,0,0,912,42,203,349,11,912,42,203,349,11,912,42,203,349,11,910,42,203,349,11,901,40,199,342,11,881,40,192,329,10,812,34,182,303,9,744,33,169,280,8,682,29,158,250,7,573,21,139,196,4,296,10,91,84,3,127,7,43,28,0,106.5256427133,108.9349558682,14858.3580001191,53.3714838,61.7485958,70.405353,79.1878844,87.159577,98.297666,111.4696904,135.7411956,179.8479006,53.3714838,61.7485958,70.405353,79.1878844,87.159577,98.297666,111.4696904,135.7411956,179.8479006,84.8858917283,95.297025739,105.25502061,111.9620656509,131.1087518802,143.8364802226,161.031067406,184.9302319732,274.4016700772,3388.9872800096,4371.3918305266,5191.0669683115,5891.4362741874,8062.0953429409,9837.1437297137,12062.512550383,15787.1128028421,34558.118300261
15,4,2628,52,323,99,1,2090,27,254,97,1,1663,17,200,70,1,1320,9,148,41,1,1130,6,130,28,1,995,5,101,19,1,868,4,81,16,0,759,3,62,15,0,651,1,49,10,0,529,1,34,7,0,367,0,21,1,0,98,0,1,0,0,2197,55,558,286,7,2197,55,558,286,7,2197,55,558,286,7,2197,55,558,286,7,2184,55,555,284,5,2138,52,549,280,5,2032,46,526,277,5,1913,40,495,270,5,1741,32,460,254,5,1506,23,406,235,4,862,3,248,180,2,403,1,140,114,1,128.7486058453,131.774770194,21907.2554571778,56.3919198,68.6488834,81.398746,95.4902772,109.617248,125.0112312,148.371472,173.2450476,203.036484,56.3919198,68.6488834,81.398746,95.4902772,109.617248,125.0112312,148.371472,173.2450476,203.036484,88.085381712,102.4019768169,122.2640034577,148.268927671,165.190105549,181.5911757609,215.7253688558,239.7147013648,299.2247811778,3662.387325537,4937.7748772161,6835.9223688715,10300.8221175854,12648.7193752774,15297.9005961117,22192.8849830792,27036.5247686191,40654.9035441538
16,3,1046,138,100,136,1,819,105,66,133,1,679,69,55,82,0,550,36,41,54,0,466,29,32,44,0,409,18,26,30,0,370,11,19,25,0,333,7,17,19,0,306,3,9,14,0,248,1,5,12,0,188,0,3,8,0,58,0,1,1,0,860,188,108,261,4,860,188,108,261,4,860,188,108,261,4,860,188,108,261,4,857,187,105,257,4,827,178,101,250,4,742,158,97,239,4,659,138,95,218,4,554,121,85,194,3,426,96,69,168,3,149,45,48,88,2,30,23,29,43,0,124.0114015707,121.8590457305,17993.3749375436,57.754394,74.005951,89.015015,101.7771,115.260437,129.003662,146.982849,166.202088,190.913558,57.754394,74.005951,89.015015,101.7771,115.260437,129.003662,146.982849,166.202088,190.913558,86.0926468416,107.6125629385,133.6075935029,150.3853480492,166.480074007,182.0895807986,214.0282744365,229.4308374816,253.3169433359,3585.8253688655,5516.1545184683,8573.1408546547,10595.5919883859,13099.639389024,15934.6652260994,21696.2488102442,25221.8124559753,30214.1457777965
17,4,885,56,1325,960,0,321,17,534,877,0,236,13,369,594,0,181,9,256,352,0,142,8,186,241,0,114,7,146,181,0,93,5,110,131,0,81,5,77,95,0,71,4,50,66,0,51,2,30,38,0,30,1,11,22,0,6,0,0,4,0,342,20,388,2454,22,342,20,388,2454,22,342,20,388,2454,22,341,20,386,2453,21,337,20,380,2451,20,322,19,358,2428,18,285,18,318,2370,16,242,15,285,2295,16,207,14,239,2204,12,156,12,181,2031,10,61,9,91,1376,6,22,2,42,714,3,85.1575404079,86.5388793413,14649.071309553,35.9229015,41.475784,45.925766,50.450607,55.5711675,62.115783,73.1760255,92.710594,153.982086,35.9229015,41.475784,45.925766,50.450607,55.5711675,62.115783,73.1760255,92.710594,153.982086,54.8554217059,62.7659729331,69.3379602208,75.4085421154,81.8041806832,90.3379643598,102.2349155865,139.2881154185,225.7414201222,1392.5910932675,1875.4679856873,2276.547399454,2709.2665023179,3160.0281742744,3867.2121267193,4892.1325711932,9165.1356812158,23755.7540036258
18,4,2034,173,3848,1011,1,656,28,2259,943,1,509,15,1710,743,1,386,8,1208,503,1,320,5,932,399,1,268,3,764,307,1,235,2,599,239,0,206,2,469,196,0,174,2,341,150,0,128,1,229,108,0,84,1,122,57,0,18,0,9,7,0,606,33,2726,3646,56,606,33,2726,3646,56,606,33,2726,3646,56,605,33,2726,3637,55,598,32,2706,3619,53,565,29,2652,3564,51,485,26,2503,3444,47,420,25,2369,3284,45,337,19,2203,3095,36,241,16,1975,2800,27,66,6,1345,1827,8,12,4,883,977,5,110.8011646549,111.5574760451,21527.4511917399,42.4446512,50.172424,56.7971732,64.0067504,72.323059,84.0823044,104.943648,137.6661192,222.8178958,42.4446512,50.172424,56.7971732,64.0067504,72.323059,84.0823044,104.943648,137.6661192,222.8178958,65.2394419009,76.3267740897,85.1224471778,93.3607457026,102.7875555356,117.7578371092,153.1339106314,198.1795048965,327.2222906311,1993.1963996869,2747.5758548808,3408.7010025403,4121.8741915617,4926.5412413286,6378.6623466221,10818.7566630761,17714.4918178471,48433.5581575978
19,1,127,143,12,35,2,69,130,9,35,2,54,108,8,23,2,41,87,6,10,2,32,76,4,8,2,26,64,4,6,2,24,51,4,4,2,19,40,3,3,2,14,32,2,3,1,10,24,2,1,1,7,16,2,0,1,1,0,0,0,1,71,179,11,54,4,71,179,11,54,4,71,179,11,54,4,71,179,11,54,4,70,178,11,54,4,68,178,11,54,4,59,164,11,53,3,53,151,10,52,3,39,130,9,49,2,29,105,8,48,2,6,57,5,41,1,2,25,2,23,0,146.2482617868,148.8433841473,29470.2303346565,47.3849232,84.2037594,102.5511596,118.0742002,130.636658,146.6157224,162.5166626,186.3768158,215.9767208,47.3849232,84.2037594,102.5511596,118.0742002,130.636658,146.6157224,162.5166626,186.3768158,215.9767208,86.3570949153,144.0276721705,161.9323674759,172.0414754095,187.8557972483,220.3516127277,233.0089820415,253.7922840896,306.6067371661,3302.7723844627,9614.8935629909,11998.2550265525,13862.0000071587,15865.9740749306,22366.2961251456,26135.7377546377,29476.8164353824,44828.2767436681
20,1,2736,12,71,27,0,2566,8,60,27,0,2069,5,47,16,0,1664,2,34,6,0,1432,1,25,5,0,1262,0,23,2,0,1115,0,21,1,0,985,0,20,0,0,852,0,13,0,0,714,0,10,0,0,547,0,7,0,0,218,0,5,0,0,2623,14,133,72,4,2623,14,133,72,4,2623,14,133,72,4,2622,14,133,71,4,2621,14,132,71,3,2604,14,128,66,3,2522,12,125,62,3,2431,12,118,55,3,2285,9,108,52,3,2057,5,98,42,2,1302,3,72,25,2,580,3,51,9,1,113.4648034375,116.3741571402,15583.6826975139,66.1434025,77.198609,85.8818665,93.426789,102.0870305,110.686585,121.496994,137.436409,169.312439,66.1434025,77.198609,85.8818665,93.426789,102.0870305,110.686585,121.496994,137.436409,169.312439,100.6217847378,112.6728522512,129.9431798813,139.1065052088,148.7177914027,161.783234941,174.5769121034,201.4399448556,238.1613714299,4840.9680539002,6173.5676471043,8209.0968894133,9194.1394264104,10596.4636039105,12498.0753341341,14617.2997811362,18416.9264838867,27082.730317607
21,4,3194,44,3130,989,1,1404,7,1534,981,1,1038,6,1100,774,1,758,3,794,553,1,605,0,577,415,0,503,0,445,342,0,430,0,348,277,0,350,0,257,218,0,280,0,175,169,0,229,0,123,114,0,142,0,60,62,0,33,0,4,5,0,1619,5,1474,4239,21,1619,5,1474,4239,21,1619,5,1474,4239,21,1618,5,1468,4236,21,1608,5,1456,4221,21,1578,5,1409,4163,21,1511,5,1273,4025,21,1444,5,1147,3891,21,1364,5,1027,3664,21,1233,4,858,3276,21,850,2,464,2097,15,498,0,251,1045,6,90.9828082657,91.2097476943,13517.9713557479,42.0728635,48.686633,54.3774287,60.3264646,67.483185,75.5653078,88.7691648,108.3396906,143.2949886,42.0728635,48.686633,54.3774287,60.3264646,67.483185,75.5653078,88.7691648,108.3396906,143.2949886,64.1204292971,73.0710282343,80.6184782892,87.9448142764,96.3150663506,107.0187901485,132.6859581461,154.3327475947,209.1271538676,1962.3160032188,2550.0578444684,3108.9157682614,3701.2186563448,4415.8219532945,5469.4888496305,8397.8128533845,11245.8877233002,19387.0380296378
22,1,1882,324,2,2,3,1585,315,1,2,3,1295,258,1,1,2,1052,201,1,0,2,921,160,1,0,2,815,138,0,0,1,735,117,0,0,0,633,94,0,0,0,535,74,0,0,0,428,52,0,0,0,309,29,0,0,0,71,4,0,0,0,1636,547,4,9,17,1636,547,4,9,17,1636,547,4,9,17,1636,547,4,9,17,1633,546,3,9,17,1618,545,3,9,16,1509,489,3,9,13,1378,442,2,9,13,1243,387,1,7,11,1016,317,1,7,8,460,159,0,3,6,177,73,0,0,2,141.7176175617,147.1811976539,23582.1576864713,81.9872646,97.677759,108.1306764,118.996918,129.925232,142.2744382,156.72558,174.8153074,199.2931976,81.9872646,97.677759,108.1306764,118.996918,129.925232,142.2744382,156.72558,174.8153074,199.2931976,140.9740700313,155.2837097788,167.9661812801,177.2385729686,186.4996239632,206.2997728387,222.9518548018,240.0626176258,278.2006491747,9278.6994763785,11139.8506514508,12960.0336312568,14647.4183580939,16197.8462210312,19089.7590684013,23237.5677536637,26930.1388218942,35204.2608234658
23,3,1999,214,2300,939,2,620,42,1634,904,2,470,30,1340,678,2,348,13,1026,492,1,281,5,870,370,1,244,3,756,283,1,208,0,670,219,1,176,0,587,168,1,141,0,494,121,0,117,0,396,78,0,77,0,263,39,0,12,0,64,4,0,588,27,2643,2165,31,588,27,2643,2165,31,588,27,2643,2165,31,587,27,2642,2162,31,581,27,2631,2151,31,558,26,2606,2116,30,519,23,2562,2038,28,481,23,2498,1934,27,423,19,2435,1804,22,355,15,2322,1578,17,168,9,2044,902,7,56,2,1725,380,4,177.3237314228,166.1765765048,47791.1243118782,45.8915583,55.371887,64.469604,77.5678468,99.8392755,129.5593948,197.4237789,305.0496338,470.430441,45.8915583,55.371887,64.469604,77.5678468,99.8392755,129.5593948,197.4237789,305.0496338,470.430441,68.9039123972,83.0772446452,95.3061820208,108.5267094134,147.4002211187,190.0187334949,314.3979709059,456.9640797316,620.8250777825,2266.2839014534,3294.9059789583,4303.5925879115,5530.4751560618,10261.3632943779,16685.7390596473,43330.5997080999,86568.4347080625,156862.346320597
24,4,811,376,1600,2701,3,173,126,621,2582,3,133,80,437,2048,2,97,54,283,1520,2,85,38,211,1183,1,74,26,155,971,1,60,22,121,812,1,49,14,97,683,1,37,10,70,541,1,31,7,32,397,1,19,1,15,243,1,5,0,1,35,0,158,143,458,4650,82,158,143,458,4650,82,158,143,458,4648,82,158,143,458,4645,81,150,140,457,4627,81,140,136,446,4568,77,113,120,420,4424,72,97,111,391,4261,66,71,89,348,4053,59,49,74,282,3721,50,14,40,165,2593,31,2,19,97,1569,11,88.3858637093,88.7903138259,12290.7270758143,40.496887,47.507141,53.053955,58.538147,64.664551,72.909851,84.720215,108.542419,163.335327,40.496887,47.507141,53.053955,58.538147,64.664551,72.909851,84.720215,108.542419,163.335327,62.0116153839,71.0170781835,77.9615695639,84.8710216632,91.9884953852,101.6421096961,115.9419906285,157.6296826437,239.9205749071,1813.7726602436,2394.0756633796,2912.8656251502,3423.0827369297,4022.8122235565,4870.9079540326,6239.0920433985,11478.7478624271,26597.138831542
